id,user_id,trail_id,difficulty,nature,beauty,stars,timestamp
87,30,2,5,,4,3,2022-01-09T09:05:39Z
88,24,5,2,4,,4,2021-09-04T03:07:55Z
89,77,4,1,5,4,3,2022-03-21T14:20:40Z
90,75,1,5,3,1,5,2021-06-15T21:30:08Z
91,78,4,3,5,2,5,2021-12-20T18:54:11Z
92,43,1,1,1,,5,2021-07-16T07:01:38Z
93,54,4,2,1,,3,2021-07-19T22:43:00Z
94,34,3,5,3,,1,2022-03-29T05:57:26Z
95,69,5,1,5,,4,2021-10-21T06:27:36Z
96,36,1,1,4,2,5,2021-09-01T18:25:43Z
97,57,3,3,,1,1,2021-08-27T10:06:22Z
98,93,1,5,,5,2,2021-10-28T17:39:29Z
99,41,5,5,4,3,1,2021-07-23T11:36:58Z
100,76,4,1,,5,3,2022-04-30T17:28:50Z
